year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2015,red,Petite Sirah,645.6,50.4,696.0,2347.4,2715.79,6375100
2015,red,Petite Verdot,266.2,25.7,292.0,953.4,2719.87,2593200
2015,red,Pinot Noir,12850.8,750.0,13600.7,30667.2,3525.42,108114800
2015,red,Sangiovese,211.3,0.0,211.3,929.3,2244.27,2085700
2015,red,Syrah-Shiraz,1569.8,15.5,1585.3,2848.1,2525.16,7192000
2015,red,Zinfandel,4988.3,85.1,5073.4,13070.9,2711.07,35436200
2015,white,Chardonnay,15669.8,706.7,16376.4,64208.9,2084.79,133862100
2015,white,Gewürztraminer,113.9,7.1,121.1,202.5,1803.12,365200
2015,white,Muscat Blanc,14.3,1.0,15.3,154.8,2202.96,341100
2015,white,Pinot Blanc,65.0,1.1,66.0,187.6,1825.03,342400
2015,white,Pinot Gris,463.6,8.6,472.2,1363.9,1704.28,2324500
2015,white,Roussanne,29.6,1.0,30.6,91.3,2538.09,235900
2015,white,Sauvignon Blanc,2553.1,179.8,2732.8,12537.1,1611.31,20201200
2015,white,Semillon,102.7,0.0,102.7,376.1,2370.14,891500
2015,white,Viognier,235.7,5.8,241.5,564.1,2371.21,1337600
2015,white,White Riesling,35.7,0.0,35.7,240.6,2145.99,516400
2016,red,Pinot Noir,13343.1,385.2,13728.3,42566.3,3680.50,156665300
2016,red,Cabernet Sauvignon,12456.7,560.0,13016.7,41575.7,2964.60,123255300
